Name,Age,Occupation
Jerry,-3.1094230425642997,Engineer
Jerry,-9.007621444052386,Engineer
Joe,-18.988188738007015,Biologist
Jeff,-5.1655166342683465,Biologist
Jeff,2.0929162467127935,Biologist
Julie,-3.947653095480699,Engineer
Jeff,-34.979998769929786,Not Engineer
Jerry,10.04279683918427,Not Engineer
Julie,-1.9342751392206232,Biologist
Jerry,-15.81835076988917,Engineer
Julie,-4.864695668236472,Biologist
Jeff,-27.091657825499812,Not Engineer
Julie,-8.996964999702069,Biologist
Jerry,-8.935935777038498,Biologist
Jeff,-1.0368187547009138,Biologist
Joe,-6.973837057782504,Biologist
Jeff,38.07471065565972,Cooler Engineer
Julie,8.205087773490746,Engineer
Joe,-13.054273504854523,Cooler Engineer
Julie,1.8811466711774723,Not Engineer
